,GEOID,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
0,01001,118.97535867402048,149.12491985282512,194.99139604664813,240.85549834280303,273.8513269906092,277.4777298744279,266.5860848474984,247.37986123441445,213.8126931238656,180.8441417963818,135.8206409492878,104.11506760722459
1,01003,126.72364268931308,157.46116632269334,205.81281588059062,248.3857991418173,279.0124834637309,274.28707140545515,257.35832344469173,241.3459647718326,215.92357478160338,190.97277725574583,146.78322997573736,114.78504251879315
2,01005,123.46569702360365,155.0743268330892,201.32745234171549,246.4856841829088,279.94330384996204,276.76355764600964,267.4659661187066,247.33531220753989,213.01824495527478,182.81057993570963,141.11066474114264,108.83669752544827
3,01007,114.9669652557373,144.0817887878418,190.1292495727539,236.88808715820312,269.92437042236327,278.7953485107422,266.2031558227539,247.97642883300782,213.56400100708007,177.77730117797853,131.94104049682616,101.18261383056641
4,01009,108.9495102965716,136.99322157639725,183.79772685124323,234.99832901587854,263.7909481342022,277.4689304645245,266.1063907329853,247.68359785813553,212.46876305800217,173.12120290902945,127.54823941450853,96.48303640805759
5,01011,122.20087914717824,153.39984244488656,200.24254040007895,245.53039759585732,277.96581067537005,278.34209948087994,269.58735319438733,248.8055410284745,213.69375139601686,182.33478730854236,139.3254408986945,107.46646575927734
6,01013,122.16451792563161,153.36661591068392,201.55820120534588,244.32308615407635,276.5270738058943,277.55511499220324,266.1674782537645,247.96639547040385,214.80946300475577,185.1190643310547,140.47075530021422,108.88746027792654
7,01015,112.10181018003483,139.32161846357522,185.56781855317735,236.29924608997462,264.82924817272067,275.7837061931177,264.1576752023599,246.73398188954775,209.15917606943663,173.66851712256363,128.93753130411363,96.48495208111007
8,01017,118.4324059182025,148.32500506461935,192.72613866278465,240.93036781473361,272.5207013069315,278.13163367738116,268.53464524289393,247.52144509173453,210.59259244228932,177.92715129446475,134.05413022954414,103.76332611733295
9,01019,108.79626099268596,136.60653607050577,182.22374232610068,233.58121554056802,263.91219170888263,276.8936827977498,263.9012171427409,245.81970278422037,209.09610668818155,170.93346484502158,125.70432686805725,93.81826519966125
10,01021,117.26548338390532,146.47028005348062,192.69318202756486,239.2396555486715,271.93250576954966,278.46748438421287,266.9142798657687,248.09116637031988,212.87956899966835,178.71364636691112,133.46253535432635,101.83681495234651
11,01023,118.91599399961274,149.53221003214517,195.07772069470636,240.61760159196524,272.83143689385776,279.7835994325835,266.41651190396016,249.68965212065598,218.45166257660964,183.49460912244072,137.61164519211343,107.7756542863517
12,01025,121.10326911524723,152.1681320993524,198.57812781082956,243.67666328831723,274.2779854222348,277.75343097887543,264.6024327379592,248.37921238949426,217.40048458701685,185.92051608436986,140.59361813193874,109.9050223501105
13,01027,115.02991422017415,143.59000507990518,188.92333237330118,238.29000361760458,268.3142156600952,276.1865069071452,263.97832266489667,246.33395465215048,209.2391996383667,176.27813259760538,131.71583604812622,99.65326841672261
14,01029,113.01093773614792,140.331669035412,185.61534936087472,236.50919923328217,265.73693084716797,275.895386105492,263.89493161156065,246.29885301135835,207.93692488897415,173.2825326465425,128.9046197618757,97.15548587980724
15,01031,125.38402910585756,156.96669430202908,204.9611755653664,248.4397509539569,279.90596064814815,276.0816949862186,266.4159401787652,247.24859958224826,215.23768177738896,186.4378197281449,143.5470883404767,111.73724386427138
16,01033,103.84740841027462,131.7899289033851,178.3761980461352,231.25728830665048,262.333977593316,282.3677867542614,269.4308712121212,248.6257737284959,213.91444988639986,168.12580686627012,123.03445519341363,90.93887406166154
17,01035,123.3379325241339,153.95906141937755,202.87187332403465,244.60986428182633,275.4088314869365,274.6639229196017,262.60443240306415,246.01675502589492,215.8887402894067,186.42748735771804,141.9944604342101,110.55363433087459
18,01037,116.92167110618101,145.77098041499426,191.85124808495198,238.74274577569525,271.1073026044653,278.35564485602424,266.3882059919725,247.61445337698,212.28985147738675,178.4975779498065,133.17483282526698,101.3895153780596
