FIPS,AVG Jan,AVG Feb,AVG Mar,AVG Apr,AVG May,AVG June,AVG July,AVG August,AVG September,AVG October,AVG November,AVG December
48147,44.36,46.83,57.28,62.91,71.49,80.41,84.77,83.99,78.32,66.07,54.83,48.58
48149,52.6,55.61,64.27,69.01,76.89,83.06,86.08,86.1,81.19,71.58,61.7,56.28
48151,44.62,47.16,57.74,63.96,73.4,81.08,85.34,84.42,77.97,66.18,54.72,48.08
48153,40.18,42.47,52.64,58.79,68.28,77.09,81.17,79.22,73.19,60.86,50.03,43.11
48155,43.31,45.42,56.22,62.4,72.09,80.62,85.42,84.4,77.83,65.03,53.49,46.17
48157,54.77,58.53,65.81,70.43,77.74,83.22,85.73,85.77,81.53,72.83,63.34,58.51
48159,45.89,48.52,58.14,63.14,71.54,79.74,83.97,83.69,77.86,66.38,55.32,49.84
48161,48.21,50.98,60.41,65.18,73.41,81.2,84.88,84.69,79.24,68.06,57.62,51.81
48163,54.18,57.92,66.66,71.61,78.59,84.2,86.77,86.32,82.2,73.21,63.19,57.24
48165,41.98,45.17,54.87,61.84,71.1,79.28,82.21,80.41,74.32,62.72,51.56,44.88
48167,55.38,58.8,65.72,70.47,77.36,82.77,84.99,85.2,81.78,73.81,64.34,59.38
48169,43.01,45.66,56.08,62.57,71.97,80.31,84.5,82.8,76.33,64.32,52.99,46.06
48171,48.57,51.34,60.31,65.37,73.06,79.73,83.09,82.77,77.17,67.61,57.37,51.6
48173,44.7,48.02,58.19,64.98,73.67,81.11,84.18,83.23,76.57,66.09,54.5,48.01
48175,55.08,58.47,66.47,71.26,78.46,83.76,85.6,86.12,81.84,73.26,63.96,58.83
48177,52.71,55.91,64.81,69.82,77.62,83.68,86.48,86.64,81.82,72.12,62.32,56.76
48179,38.69,40.29,51.11,57.49,66.87,76.42,81.41,79.23,73.91,60.34,49.03,41.41
48181,44.22,46.61,57.21,62.69,71.14,80.26,84.81,84,78.1,65.93,54.81,48.2
48183,47.22,50.32,59.01,64.21,72.47,80.03,83.63,83.42,77.8,66.87,56.19,51.07
48185,51.13,54.38,63.02,67.73,75.44,81.88,85.12,85.16,80.08,70.24,59.99,54.8
48187,52.22,55.31,64.2,69.16,76.9,83.06,86.18,86.2,81.54,71.69,61.69,55.9
48189,39.5,42.11,51.93,58.29,67.73,77.1,80.58,78.47,72.56,60.21,49.21,42.33
48191,41.76,43.64,54.34,60.99,70.6,79.88,84.68,82.72,76.46,63.14,51.96,44.49
48193,46.86,49.69,59.69,65.22,73.37,81.01,85.4,84.78,78.83,67.64,56.67,50.54
48195,37.38,38.89,49.3,56.7,65.96,76.77,81.03,78.62,73.32,59.26,47.56,39.43
48197,42.44,44.54,55.49,61.88,71.59,80.63,85.48,84.06,77.64,64.48,52.77,45.14
48199,51.81,56.04,63.58,67.67,75.29,81.16,83.51,83.39,79.53,70.3,60.34,55.62
48201,54.33,57.86,65.39,69.82,77.14,82.93,85.49,85.5,81.23,72.4,62.88,57.96
48203,47.48,50.58,59.17,64.2,72.59,80.02,83.44,83.12,77.8,66.94,55.97,51.18
48205,36.82,38.78,48.41,54.77,64.31,75.12,79.24,76.54,71.41,57.46,46.23,38.68
48207,44.47,46.44,57.16,63.47,72.96,81.08,85.77,84.93,78.31,66.08,54.63,47.73
48209,50.7,53.46,62.64,67.61,75.18,81.91,85.26,85.03,79.84,69.93,59.67,53.96
48211,37.98,39.42,50.71,57.69,66.88,77.07,81.91,79.66,74.36,60.06,48.58,40.26
48213,46.96,50.1,59.51,64.27,72.94,80.88,84.62,84.52,78.88,67.28,56.88,50.94
48215,60.02,64.2,71.32,76.38,81.73,85.57,87.29,87.99,84.2,77.3,68.62,63.58
48217,47.63,50.36,60.18,65,73.62,81.39,85.56,85.19,79.64,68.08,57.4,51.28
48219,40.26,43.36,52.9,59.39,68.7,77.81,80.87,78.51,72.71,60.72,49.79,43.16
48221,46.83,49.57,59.3,64.96,73.19,81.44,85.52,84.96,78.93,67.46,56.61,50.61
48223,45.96,48.29,58.2,63.13,71.77,79.97,84.23,83.98,78.09,66.66,55.5,49.84
48225,48.88,52.06,60.82,65.91,73.77,80.99,84.3,84.22,78.88,68.39,57.94,52.77
48227,44.51,47.44,57.72,64.31,72.98,80.67,84.38,83.29,76.73,65.81,54.26,47.64
48229,43.52,48.21,56.08,63.17,70.58,79.71,81.63,79.44,74.33,63.89,53.01,45.9
48231,45.58,48.13,58.28,63.4,71.96,80.53,84.77,84.37,78.48,66.67,55.76,49.6
48233,39.13,40.63,51.32,58.12,67.48,77.91,82.46,80.12,74.58,60.64,49.33,41.39
48235,45.8,49.23,59.07,65.69,74.01,81.31,84.27,83.53,76.98,66.47,55.51,49.18
48237,44.39,46.69,57.41,62.61,71.5,80.46,84.9,84.39,77.62,65.86,54.57,48.24
48239,55.04,58.38,66.32,70.93,78.12,83.39,85.63,85.91,81.77,73.19,64.04,58.97
48241,50.66,54.83,62.32,66.58,74.37,80.6,83.11,83.07,78.74,69.28,59.26,54.49
48243,44.96,49.02,55.92,62.42,70.41,77.58,78.66,76.92,72.1,63.27,53.47,47.8
48245,53.58,57.68,64.74,68.89,76.24,81.91,83.86,83.86,80.48,71.96,62.1,57.61
48247,58.3,62.56,70.17,75.17,81.06,85.5,87.26,87.41,83.4,76.1,66.78,61.59
48249,57.67,61.53,69.14,73.77,79.92,84.59,86.34,86.56,82.74,75.26,66.01,60.92
48251,47.13,49.7,59.51,64.64,72.94,81.12,85.29,84.82,79.02,67.58,56.86,50.93
48253,44.81,46.99,57.62,63.76,72.93,80.76,85.12,84.29,78.06,66.38,54.94,48.31
48255,53.8,57.21,65.69,70.37,77.92,83.42,85.73,85.94,81.6,72.5,63.16,57.78
48257,46.66,49.26,59.42,64.26,72.57,81.03,85.11,84.81,79.04,67.29,56.6,50.56
48259,50.06,52.98,61.79,66.69,74.13,80.54,83.79,83.63,78.56,69.04,58.94,53.26
48261,59.53,63.32,70.29,75.2,80.8,84.53,86.21,86.84,83.5,76.66,68.18,63.03
48263,43.78,46.29,56.93,63.36,73.01,81.03,85.42,84.13,77.6,65.32,54.06,46.83
48265,48.24,51.46,60.23,65.57,73.09,79.62,82.68,82.27,77.01,67.39,57.16,51.4
48267,47.7,50.48,59.73,65.66,73.62,80.32,83.61,82.94,77.18,67.21,56.66,50.79
48269,43.69,45.96,56.59,62.99,72.66,80.83,85.6,84.38,77.86,65.14,54.01,46.59
48271,52.01,56.03,64.64,69.97,77.3,83.56,86.28,85.92,80.86,71.43,60.91,54.6
48273,59.02,62.46,69.98,74.58,80.43,84.56,86.27,86.54,83.39,76.4,67.6,62.41
48275,44.14,46.28,57.01,63.2,72.76,80.98,85.68,84.93,78.31,65.78,54.38,47.11
48277,44.2,46.6,56.94,62.4,71.16,79.84,84.2,83.39,77.93,65.63,54.37,48.32
48279,38.94,41.79,51.22,57.67,67.13,76.61,79.83,77.59,71.87,59.52,48.53,41.67
48281,47.87,50.47,60.34,65.74,73.81,81.26,85.48,84.84,78.88,68.24,57.33,51.43
48283,55.04,59.39,67.57,72.54,79.6,85.04,87.12,86.74,82.49,74.03,63.99,58.14
48285,53.87,56.87,65.44,70.34,77.96,83.77,86.42,86.59,81.98,72.72,62.94,57.69
48287,51.32,54.34,63.33,67.82,75.78,82.3,85.57,85.56,80.42,70.5,60.34,54.76
48289,48.52,51.59,60.58,65.54,73.47,80.82,84.42,84.37,78.72,68.29,57.7,52.36
48291,52.99,56.79,64.46,68.76,76.13,81.93,84.44,84.33,80.26,71.21,61.59,56.71
48293,48.31,50.9,60.37,65.24,73.5,81.18,84.94,84.73,79.38,68.28,57.7,51.83
48295,36.96,38.08,49.51,56.86,66.02,76.58,81.31,78.9,73.78,59.23,47.58,39.01
48297,55.66,59.32,67.26,72,78.63,83.79,85.67,85.97,81.76,73.7,64.36,59.02
48299,49.59,51.89,61.63,67.02,74.8,81.97,85.66,85.24,79.22,69.03,58.5,52.44
48301,45.49,49.47,58.72,65.71,74.92,83.07,86.09,83.97,77.77,66.52,55.07,48.3
48303,41.12,43.88,53.84,60.4,69.48,78.46,81.87,79.8,73.79,61.74,50.8,43.97
48305,41.92,44.81,54.87,61.4,70.47,78.94,82.61,80.74,74.62,62.76,51.66,44.96
48307,47.96,50.3,60,65.54,73.7,80.91,84.78,84.06,77.59,67.56,56.71,51.03
48309,48.13,50.78,60.42,65.62,74.18,81.8,85.78,85.37,80.12,68.69,57.92,51.73
48311,55.3,59.29,67.36,72.18,78.92,84.29,86.23,86.18,81.98,73.7,64.07,58.5
48313,49.43,52.53,61.47,66.4,74.33,81.27,84.71,84.79,79.22,69.12,58.54,53.24
48315,46.88,50.11,58.62,63.83,72.36,79.82,83.33,82.91,77.62,66.61,55.5,50.66
48317,44.28,47.39,57.36,64.43,73.31,80.96,84.18,82.8,76.19,65.38,53.72,47.02
48319,48.43,50.83,60.32,65.98,74.02,81.06,84.72,84.22,77.9,67.86,57.1,51.39
48321,55.23,58.7,65.99,70.74,77.68,82.71,84.98,85.2,81.22,73.26,64.44,59.64
48323,53.47,58.14,67.04,71.97,79.46,85.24,87.89,87.36,82.38,73.41,62.71,56.34
48325,52.73,56.26,64.96,70.13,77.09,83.08,86.06,85.78,81.29,71.86,61.89,55.91
48327,47.13,49.69,59.16,65.13,73.32,80.18,83.76,82.9,76.61,66.61,55.98,50.23
48329,45.44,48.76,58.69,65.64,74.59,82.01,84.89,83.57,76.89,66.66,54.93,48.46
48331,49.89,52.78,62.13,66.91,74.92,81.97,85.6,85.44,80.28,69.74,59.2,53.34
48333,47.48,49.93,59.8,64.99,73.2,80.53,84.96,84.52,78.29,67.8,56.78,50.73
48335,45.04,47.9,58.52,64.59,73.67,81.3,85.2,84.22,77.57,66.2,54.7,48.44
48337,43.74,46.26,57.01,62.47,71.23,79.94,84.69,84.03,77.76,65.49,54.11,47.62
48339,52.69,56.2,64.36,68.79,76.38,82.49,85.34,85.27,80.6,71.03,61.18,56.2
48341,37.91,39.62,49.89,56.63,66.01,76.7,81.11,78.63,73.28,59.23,48.04,40.13
48343,46.11,49.18,58.07,63.43,71.68,79.61,83.49,83.01,77.54,66.33,55.27,50.02
48345,41.91,44.1,54.6,60.98,70.57,79.26,83.77,82.06,75.76,62.88,52.08,44.9
48347,48.74,52.54,60.81,65.46,73.27,80.64,83.73,83.47,78.32,67.97,57.97,52.56
48349,47.81,50.42,60.23,65.09,73.51,81.64,85.5,85.28,79.76,68.04,57.52,51.44
48351,50.79,54.99,62.38,66.58,74.39,80.58,83.08,83.03,78.82,69.47,59.33,54.54
48353,45.08,47.53,57.86,63.66,72.79,80.29,84.19,83.31,76.78,65.71,54.68,48.49
48355,58.21,61.6,69.12,73.87,79.87,84.28,85.88,86.37,83.13,75.68,66.76,61.66
48357,37.16,38.66,49.17,56.88,66.12,76.92,81.19,78.76,73.71,59.44,47.73,39.38
48359,37.67,40.07,49.8,56.08,65.77,76.52,80.33,77.64,72.28,58.58,47.38,39.71
48361,52.67,56.92,64.13,68.17,75.84,81.66,83.39,83.44,80.12,71.13,61.09,56.69
