,FIPS,AVG Jan Temp,AVG Feb Temp,AVG Mar Temp,AVG Apr Temp,AVG May Temp,AVG June Temp,AVG July Temp,AVG Aug Temp,AVG Sept Temp,AVG Oct Temp,AVG Nov Temp,AVG Dec Temp,AVG Jan GHI,AVG Feb GHI,AVG Mar GHI,AVG Apr GHI,AVG May GHI,AVG June GHI,AVG July GHI,AVG Aug GHI,AVG Sept GHI,AVG Oct GHI,AVG Nov GHI,AVG Dec GHI,Total Solar Capacity MW-AC
399,13087,51.5,57.26,63.06,67.26,74.46,80.19,81.86,81.67,77.92,70.22,60.18,55.74,131.1633712,160.6770246,208.5669793,253.8996428,286.2190651,273.5454969,264.6113378,246.4877143,216.8392665,188.5325496,148.77488,117.5106393,313.03
400,13089,44.38,49.49,55.79,61.32,70.0,76.66,80.22,79.19,74.04,64.07,53.5,48.41,114.6255281,144.4343481,188.7788444,237.7707185,267.9741377,278.0177334,262.7782818,243.8629237,207.9086811,173.6852779,129.3658293,100.1815658,0.0
401,13091,49.97,55.44,60.61,65.52,73.23,79.47,82.16,81.52,76.63,68.3,57.7,53.41,124.857812,155.3835572,201.3552608,248.9846988,281.776636,279.2021156,268.6305828,244.5508137,211.3332557,182.0400281,140.1223661,110.2374422,0.0
402,13093,49.46,54.63,60.56,65.23,73.37,79.63,82.08,81.56,76.89,68.09,57.67,53.26,125.6809388,156.3495471,202.3952282,250.0093581,285.4558662,281.4756903,273.4231917,247.898407,214.4619671,183.3175876,140.6034861,110.2424949,0.0
403,13095,50.28,56.22,61.99,66.52,73.96,79.9,81.97,81.51,77.51,69.47,58.97,54.71,127.6130373,157.8577271,204.0284175,250.2549783,285.8741161,277.5528333,269.2491523,247.2425862,215.5315413,185.7127897,144.3603855,113.0356605,151.16
404,13097,44.21,49.41,55.92,61.29,69.87,76.3,79.83,78.92,73.82,63.9,53.09,48.2,114.0770631,143.3674062,187.1255706,236.8887158,267.5907768,277.479015,263.3166217,245.4243973,207.3185281,172.992808,128.5728778,99.09119248,0.0
405,13099,50.41,56.41,62.54,66.53,73.86,79.9,81.88,81.46,77.87,69.54,59.09,54.57,128.6851392,159.2476202,206.4640766,252.1500527,286.1426468,277.229956,267.6373171,247.8778062,215.968701,186.6057173,145.796835,113.9227232,122.5
406,13101,52.49,58.01,62.86,67.56,73.8,79.54,81.76,81.59,77.62,70.21,60.31,56.26,131.6913162,162.344582,209.0063834,250.7671887,281.9249623,266.4787768,264.2305438,239.2710214,208.8447191,185.598134,148.7269092,117.8391406,0.0
407,13103,50.28,55.64,60.94,66.07,73.58,79.72,82.54,81.67,77.2,68.84,58.58,54.16,124.4580123,156.1228638,199.408261,249.2162764,274.9120596,275.5920397,265.942596,241.1457628,205.5947533,177.5574038,139.4562666,109.5233835,15.7
408,13105,44.43,49.37,55.51,61.5,69.91,77.06,80.9,79.57,74.42,64.3,53.1,47.98,116.310515,145.8652908,189.7853935,239.408404,270.0060115,282.1174306,265.5681885,247.3208023,208.6859759,173.1225098,129.7333548,100.3162951,0.0
409,13107,49.24,54.46,59.89,65.01,72.56,78.86,81.92,81.07,76.39,67.63,57.14,52.78,123.3960898,154.5107623,199.2996386,247.8738695,278.4509395,280.5416682,268.4240174,243.3817921,211.039261,178.8416617,137.6541524,109.1525282,0.0
410,13109,50.47,55.81,61.38,66.47,73.57,79.86,82.78,81.92,77.2,68.87,58.56,54.17,124.8183685,156.2500046,201.919519,249.5219147,277.8588125,276.0120585,268.4078288,243.046049,208.3861374,178.9370687,140.092952,110.121005,0.0
411,13111,38.71,43.0,49.74,55.74,64.2,70.43,74.2,72.97,68.19,58.96,48.17,43.11,105.9081992,133.2666363,177.9095371,227.6859566,258.7612447,274.84118,258.6821334,243.2295137,206.5268425,166.5839964,121.3226711,91.85661504,0.0
412,13113,45.36,50.83,56.83,62.08,70.79,77.23,80.6,79.72,74.51,64.58,54.23,49.37,116.4184239,147.142717,190.5775894,239.2639976,270.5680342,278.1216946,266.0441547,245.9444122,208.4723763,175.1063885,131.5630162,102.3321928,0.0
413,13115,42.69,47.71,54.57,60.54,69.4,76.19,79.6,78.58,73.68,63.32,51.66,46.76,109.1531664,136.9317617,182.0919479,232.7320566,264.3656477,276.6535776,262.3260541,245.654192,207.8075451,170.2960012,124.9163438,93.75371619,0.0
414,13117,42.39,46.96,53.53,59.22,67.67,74.38,78.2,76.88,72.1,62.43,51.76,46.33,111.913256,142.4244039,186.4303139,234.6531256,266.3137938,280.6948772,265.2094943,247.8167628,209.7304531,171.9382702,127.0309629,97.91335377,0.0
415,13119,43.7,48.36,54.62,60.62,69.12,76.22,80.04,78.5,73.52,63.56,52.69,47.3,116.0743249,146.6566134,189.7917269,238.8096657,270.3232977,284.6758555,269.019903,248.6145491,210.0005389,172.6199736,128.8022541,100.3507106,0.0
416,13121,44.16,49.28,55.7,61.2,69.81,76.42,80.01,78.97,73.92,63.96,53.26,48.18,113.7987856,143.7643821,187.7594133,237.1057082,267.9951371,278.9727599,264.1045994,245.7788334,208.0333039,173.3500181,128.67128,99.54451601,0.0
417,13123,39.48,43.92,50.66,56.72,65.02,71.26,75.07,73.83,69.12,60.03,49.19,43.96,106.8903367,135.3431467,179.3699021,229.0317608,259.8335169,275.7346987,259.3412018,244.2209928,206.8772527,168.2599999,122.2790894,92.23647244,0.0
418,13125,46.98,52.2,57.89,63.42,71.03,77.66,81.13,79.98,75.06,65.87,55.13,50.51,120.3904873,151.0418091,195.8588215,244.4497965,274.7628812,280.7845473,267.9003879,244.615851,210.0445418,176.9161474,133.849135,105.8899536,0.0
419,13127,52.97,58.14,62.99,68.28,74.64,80.37,83.19,82.18,78.71,71.1,61.71,57.36,129.8165438,159.897854,209.4144566,253.8891597,281.8295103,271.2453523,270.0557178,242.887948,205.5782709,180.2082122,145.8377464,115.7108081,17.68
420,13129,41.9,46.79,53.7,59.81,68.68,75.58,79.31,78.11,73.13,62.86,51.4,46.03,107.2611687,135.5753559,180.6757015,231.9469682,263.1550223,277.0941617,261.2276646,247.326753,209.2705033,169.7741337,123.342732,93.16931252,0.0
421,13131,51.38,57.1,62.72,66.89,74.21,79.69,81.31,81.16,77.38,69.81,60.03,55.56,131.2899294,161.218401,208.3793202,254.0563184,286.1522394,273.093884,265.0789366,245.3445574,216.156129,188.5376824,148.9714488,116.6840219,0.0
422,13133,45.52,50.89,57.19,62.59,70.67,77.48,81.29,79.8,74.9,64.96,54.36,49.4,118.0225795,148.0699027,193.4776919,241.3732593,271.913176,281.3731438,267.8282858,244.1534714,208.669313,175.5229928,132.3287773,102.1532257,0.0
423,13135,43.64,48.46,54.9,60.57,69.07,75.74,79.44,78.18,73.31,63.49,52.92,47.5,114.3157726,144.4200653,188.9879936,237.2428183,267.2966695,278.4896792,263.6621911,244.9030908,208.3840983,173.341011,128.9882312,100.2716213,0.0
424,13137,41.78,46.47,52.6,58.71,66.93,73.41,77.18,75.61,70.8,61.32,50.8,45.68,114.1545468,145.1198624,186.5530289,234.5932994,264.795661,280.5510132,262.3082605,244.0279556,207.8346774,170.7399274,126.6361954,99.23589371,0.0
425,13139,42.94,47.52,53.97,59.69,68.06,74.7,78.57,77.13,72.41,62.78,52.21,46.77,113.8075255,144.9387289,188.558092,236.1385401,268.3447133,283.2081303,266.8115871,247.7900623,209.9045295,172.1939231,128.0377135,99.53391874,0.0
426,13141,46.5,51.94,57.86,63.26,71.03,77.77,81.41,80.14,75.16,65.7,54.93,50.29,119.5233538,150.1039658,194.9879778,243.1723552,274.3412137,280.1425789,267.3416138,243.6499628,209.7884546,176.9282598,133.7650212,104.784563,0.0
427,13143,43.34,48.5,55.09,60.62,68.82,75.31,78.62,77.79,72.91,63.12,51.89,47.48,113.2320802,140.8735697,185.9634592,236.8184227,266.9051328,276.8957931,264.306224,247.3017409,208.3931208,172.8836716,128.3602759,97.8300637,0.0
428,13145,46.26,51.63,57.59,62.42,70.46,77.01,80.1,79.26,74.68,65.04,54.53,50.03,119.7706577,150.6810724,194.7515737,242.2773879,275.0499284,277.2521615,267.2770603,245.5554958,209.4757497,178.8790233,135.6720693,105.409106,0.0
429,13147,43.92,48.57,54.86,60.92,69.27,76.53,80.33,78.84,73.82,63.8,52.63,47.43,116.399893,146.5847343,190.1277462,240.0780331,270.2404381,283.9640739,267.7658516,248.9409988,210.3747498,173.387347,129.1355825,100.2430498,0.0
430,13149,44.83,50.33,56.32,61.59,69.88,76.62,80.09,79.26,74.12,64.36,53.4,48.69,116.0344435,145.6443199,189.9138404,238.7683044,268.782246,276.7357885,264.9376519,245.2630573,207.8478283,175.2033376,130.9416468,101.4790781,0.0
431,13151,45.3,50.68,56.84,62.0,70.87,77.48,80.88,80.01,74.62,64.76,54.37,49.42,116.8271015,147.5460965,191.7759851,240.2240068,271.2814493,278.6008343,266.5650784,244.4381316,208.291798,174.9838718,131.9918345,102.8462103,0.0
432,13153,48.77,53.79,59.73,64.63,72.72,79.36,82.11,81.34,76.59,67.56,57.0,52.57,123.4007087,154.5367037,199.3630553,246.8088074,280.4295412,278.8477952,269.781693,244.8183728,211.825426,181.2764924,138.6786591,108.3212989,68.0
433,13155,50.01,55.64,60.94,65.69,73.33,79.54,81.9,81.67,76.86,68.63,58.41,54.04,128.1539507,158.8935902,205.4056028,252.8908099,287.4969777,282.3235295,273.8806552,248.0476277,214.7289829,185.9548816,144.2209712,114.0958131,0.0
